Feature1,Feature2,Correlation,AbsCorrelation
Tunnel Length,Tunnel Diameter,0.08444209162460004,0.08444209162460004
Tunnel Length,Tunnel Type,-0.5236844030950605,0.5236844030950605
Tunnel Length,Geological Condition,0.3993460802336238,0.3993460802336238
Tunnel Length,Soil Type,0.1937998176791653,0.1937998176791653
Tunnel Length,Hydro Condition,-0.017126129468189765,0.017126129468189765
Tunnel Diameter,Tunnel Length,0.08444209162460004,0.08444209162460004
Tunnel Diameter,Tunnel Type,0.3768416413820563,0.3768416413820563
Tunnel Diameter,Geological Condition,-0.0053270601888614905,0.0053270601888614905
Tunnel Diameter,Soil Type,-0.10416354961142518,0.10416354961142518
Tunnel Diameter,Hydro Condition,0.08229654490768282,0.08229654490768282
Tunnel Type,Tunnel Length,-0.5236844030950604,0.5236844030950604
Tunnel Type,Tunnel Diameter,0.3768416413820562,0.3768416413820562
Tunnel Type,Geological Condition,-0.47251043852179986,0.47251043852179986
Tunnel Type,Soil Type,-0.2845787134463784,0.2845787134463784
Tunnel Type,Hydro Condition,0.11500450945938726,0.11500450945938726
Geological Condition,Tunnel Length,0.3993460802336237,0.3993460802336237
Geological Condition,Tunnel Diameter,-0.0053270601888614905,0.0053270601888614905
Geological Condition,Tunnel Type,-0.47251043852179986,0.47251043852179986
Geological Condition,Soil Type,0.1963961585583149,0.1963961585583149
Geological Condition,Hydro Condition,0.10074395248466371,0.10074395248466371
Soil Type,Tunnel Length,0.1937998176791653,0.1937998176791653
Soil Type,Tunnel Diameter,-0.10416354961142518,0.10416354961142518
Soil Type,Tunnel Type,-0.2845787134463784,0.2845787134463784
Soil Type,Geological Condition,0.19639615855831488,0.19639615855831488
Soil Type,Hydro Condition,-0.13355369402593384,0.13355369402593384
Hydro Condition,Tunnel Length,-0.01712612946818976,0.01712612946818976
Hydro Condition,Tunnel Diameter,0.08229654490768282,0.08229654490768282
Hydro Condition,Tunnel Type,0.11500450945938726,0.11500450945938726
Hydro Condition,Geological Condition,0.10074395248466371,0.10074395248466371
Hydro Condition,Soil Type,-0.13355369402593384,0.13355369402593384
